,AttackID,Date,Location,Narration,Status,lat,lon
0,162-19,2019-12-03 02:10:00+07:00,Singapore Straits.,Five to seven persons in a wooden boat approached and attempted to board a tug underway. Duty watchman noticed the boat and raised the alarm resulting in the persons aborting and moving away.,Attempted,1.1666666,103.933334
2,160-19,2019-11-28 22:20:00+07:00,Singapore Straits.,"Chief Engineer onboard a bulk carrier underway noticed four robbers armed with knives in the engine room and informed Master. Alarm raised, deck lights switched on and crew mustered. Seeing the alerted crew the robbers escaped. A search was carried out. Foot prints were noticed on the quarter deck. Nothing reported stolen.",Boarded,1.27,104.22333499999999
3,159-19,2019-12-13 05:30:00+01:00,Algeria.,Duty crew onboard a berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen.,Attempted,36.763992,3.0631904999999997
4,158-19,2019-12-24 23:20:00+07:00,Singapore Straits.,"Five robbers boarded a product tanker underway. Second Engineer noticed and shouted at the robbers. Alarm raised, crew mustered, and incident reported to Singapore VTS. Seeing the crew alertness, the robbers escaped without stealing anything. The tanker anchored at Sudong Special anchorage where a Singapore coast guard personnel boarded the tanker for inspection. All crew safe.",Boarded,1.15,103.48333000000001
5,157-19,2019-12-23 00:20:00+07:00,Singapore Straits.,"Five persons armed with knives and guns boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew, threatened them and tied them up. The robbers stole engine spares and escaped. Incident reported to Singapore VTIS. A coast guard boat responded and escorted the vessel.",Boarded,1.2658334,104.11694
7,155-19,2019-12-01 06:05:00+05:30,"Visakhapatnam Anchorage, India.","Around 15 to 18 persons in three skiffs approached an anchored bulk carrier. They attempted to board the ship using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting the attempted boarding and escaped. After chasing the boats for a while, the  patrol boat managed to stop one skiff and arrested the persons onboard.",Attempted,17.6025,83.35
8,154-19,2019-12-22 23:00:00+07:00,Singapore Straits.,"While underway, a tanker was boarded by five robbers armed with knives. Two duty crew on routine rounds were confronted by the robbers, who threatened them and tied them up. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",Boarded,1.25,104.083336
9,153-19,2019-12-20 22:30:00+07:00,Singapore Straits.,"Five robbers armed with long knives boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew and threatened them with knives. The robbers stole engine spares and escaped. Alarm raised, crew mustered, and incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship to an anchorage, where they boarded the ship for inspection. All crew safe.",Boarded,1.25,104.01666999999999
11,151-19,2019-12-11 03:25:00+07:00,"Panjang Anchorage, Indonesia.","Three robbers armed with long knives boarded an anchored bulk carrier. They broke into the engine room work shop, stole auxiliary engine spares and escaped. Authorities notified.",Boarded,-5.5008335,105.28472
17,143-19,2019-11-28 04:45:00+08:00,Singapore Straits.,"While underway, a duty engine crew onboard a bulk carrier was confronted by robbers armed with knives. The robbers threatened the crew with a knife and attempted to take him hostage. The crew managed to escape and raised the alarm resulting in the crew mustering. Seeing the alerted crew, the robbers escaped without stealing anything. Master reported the incident to VTIS. A patrol boat was dispatched to the location. Vessel and crew are safe.",Boarded,1.3052778,104.34639
20,140-19,2019-10-18 22:07:00+07:00,Singapore Straits.,"Five robbers armed with knives and crowbars boarded a tanker underway and entered the engine room. Duty Engine crew noticed the robbers and raised the alarm, resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS.",Boarded,1.0833334,103.7
23,137-19,2019-11-05 19:48:00+08:00,Singapore Straits.,Six persons in two speed boats approached a tanker underway. Duty crew noticed the persons attempting to board the tanker and raised the alarm. Master increased the speed and took evasive manoeuvres resulting in the persons aborting the boarding attempt.,Attempted,1.2016666999999999,103.5675
27,133-19,2019-11-08 02:00:00+07:00,"Belawan Port, Indonesia.","During security rounds, crew onboard a berthed tanker noticed one unknown person trying to board the vessel using a grappling hook. Upon being noticed, the person escaped. Incident reported to Port Authority.",Attempted,3.7880587999999995,98.69406
28,132-19,2019-10-09 02:20:00+07:00,"Dumai Inner Anchorage, Indonesia.","Duty officer onboard an anchored tanker noticed four robbers on deck and informed Master. Alarm raised, crew mustered, and PA announcement made. The robbers escaped without stealing anything and a search carried out. Incident reported to local agent.",Boarded,1.7166667000000002,101.434166
29,131-12,2019-10-15 05:00:00+07:00,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored tanker noticed a person attempting to board via the anchor chain, while two other persons were waiting in the boat alongside the tanker. The duty crew reported the incident to the OOW who raised the alarm. Seeing the alerted crew, the persons escaped in their boat.",Attempted,3.9166667,98.8
30,130-19,2019-10-25 04:15:00+07:00,Singapore Straits.,"Alert crew onboard a tanker underway noticed four robbers on deck and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",Boarded,1.05,103.63333
32,128-19,2019-10-22 00:47:00+07:00,"Cigading Anchorage, Indonesia.",Alert crew onboard an anchored bulk carrier noticed four unauthorized persons near the entrance of the engine room. Alarm raised and crew mustered. Hearing the alerted crew the persons escaped without stealing anything.,Boarded,-6.017537,105.935745
35,125-19,2019-10-20 00:00:00+07:00,Singapore Straits.,Duty oiler on routine rounds onboard a bulk carrier underway was taken hostage by five robbers armed with a gun and knives. The robbers threatened the oiler and tied his hands. They then stole ships spares and escaped. The oiler reported the incident to the OOW who raised the alarm and notified Singapore VTIS.,Boarded,1.0575,103.645
39,121-19,2019-10-06 07:59:00+08:00,"Johor Anchorage, Malaysia.","Unnoticed, robbers boarded an anchored tanker, stole ship",Boarded,1.3,104.11667
42,118-19,2019-09-30 22:15:00+07:00,Singapore Straits.,"Deck crew on routine rounds onboard a bulk carrier underway in the Singapore TSS spotted five armed robbers on the aft deck. Alarm raised, SSAS activated and PA announcement made resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS. After almost one hour and in Singapore waters, a Singapore police coast guard boat intercepted and escorted the ship to Singapore, where they boarded and searched the ship to ensure that the robbers had left.",Boarded,1.0352777,103.65
43,117-19,2019-09-19 03:00:00+08:00,"Balikpapan, Indonesia.",Two robbers boarded a berthed tanker. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping without stealing anything.  Incident reported to local authorities.,Boarded,-1.1096356,116.734024
44,116-19,2019-09-24 00:55:00+05:30,"Kakinada Anchorage, India.",Four robbers boarded an anchored LPG tanker using a hook attached with rope. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping in their boat with ship,Boarded,17.063055,82.436386
45,115-19,2019-09-26 05:06:00+07:00,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","A Bosun onboard an anchored general cargo ship sighted three robbers on the forecastle and immediately informed the OOW, who raised the alarm. The crew mustered and proceeded towards the forward. Seeing the alerted crew, the robbers escaped with a mooring rope.",Boarded,1.6,104.53333
46,113-19,2019-09-26 03:15:00+07:00,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","Unnoticed, robbers boarded an anchored tanker via anchor chain and stole ship",Boarded,1.5683334,104.51694499999999
47,114-19,2019-09-24 01:00:00+08:00,"Mabini Anchorage, Philippines.",Duty crew onboard an anchored tanker noticed a person attempting to open the anchor hawse pipe cover. Alarm raised and crew mustered. Incident reported to local agent.,Attempted,13.766666,120.98333000000001
49,111-19,2019-09-23 11:58:00+08:00,"Around 6.3nm North of Pulau Tambisan, Sabah, Malaysia.","Seven armed persons in two pump boats, wearing camouflage uniforms and masks, approached two fishing vessels. The persons boarded the fishing vessels, held the crew at gunpoint and took their personal effects, phones and documentation. Before leaving the armed persons kidnapped three crew members from one fishing vessel and headed to Tawi",Boarded,5.5666666,119.11667
