lat,lon,AttackID,Vessel,Status,Location,Narration,Date
1.1666666,103.933334,162-19,Tug,Attempted,Singapore Straits.,Five to seven persons in a wooden boat approached and attempted to board a tug underway. Duty watchman noticed the boat and raised the alarm resulting in the persons aborting and moving away.,2019-12-03 02:10:00+07:00
3.9666667,9.083333,161-19,Product Tanker,Boarded,"Limboh Anchorage, Cameroon.",Around six persons armed with guns boarded an anchored tanker. A distress message was sent by the tanker. The persons stole ship,2019-12-30 23:30:00+01:00
1.27,104.223335,160-19,Bulk Carrier,Boarded,Singapore Straits.,"Chief Engineer onboard a bulk carrier underway noticed four robbers armed with knives in the engine room and informed Master. Alarm raised, deck lights switched on and crew mustered. Seeing the alerted crew the robbers escaped. A search was carried out. Foot prints were noticed on the quarter deck. Nothing reported stolen.",2019-11-28 22:20:00+07:00
36.763992,3.0631905,159-19,LPG Tanker,Attempted,Algeria.,Duty crew onboard a berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen.,2019-12-13 05:30:00+01:00
1.15,103.48333,158-19,Product Tanker,Boarded,Singapore Straits.,"Five robbers boarded a product tanker underway. Second Engineer noticed and shouted at the robbers. Alarm raised, crew mustered, and incident reported to Singapore VTS. Seeing the crew alertness, the robbers escaped without stealing anything. The tanker anchored at Sudong Special anchorage where a Singapore coast guard personnel boarded the tanker for inspection. All crew safe.",2019-12-24 23:20:00+07:00
1.2658334,104.11694,157-19,Bulk Carrier,Boarded,Singapore Straits.,"Five persons armed with knives and guns boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew, threatened them and tied them up. The robbers stole engine spares and escaped. Incident reported to Singapore VTIS. A coast guard boat responded and escorted the vessel.",2019-12-23 00:20:00+07:00
6.251111,3.2166667,156-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.","Duty crew on board an anchored product tanker noticed two unauthorized persons onboard and raised the alarm. Crew mustered. Naval patrol boat notified via VHF, which responded and searched the waters around the tanker. A search was carried out. Nothing reported stolen.",2019-12-21 01:25:00+01:00
17.6025,83.35,155-19,Bulk Carrier,Attempted,"Visakhapatnam Anchorage, India.","Around 15 to 18 persons in three skiffs approached an anchored bulk carrier. They attempted to board the ship using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting the attempted boarding and escaped. After chasing the boats for a while, the  patrol boat managed to stop one skiff and arrested the persons onboard.",2019-12-01 06:05:00+05:30
1.25,104.083336,154-19,Crude Oil Tanker,Boarded,Singapore Straits.,"While underway, a tanker was boarded by five robbers armed with knives. Two duty crew on routine rounds were confronted by the robbers, who threatened them and tied them up. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",2019-12-22 23:00:00+07:00
1.25,104.01667,153-19,Bulk Carrier,Boarded,Singapore Straits.,"Five robbers armed with long knives boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew and threatened them with knives. The robbers stole engine spares and escaped. Alarm raised, crew mustered, and incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship to an anchorage, where they boarded the ship for inspection. All crew safe.",2019-12-20 22:30:00+07:00
