lat,lon,Status,AttackID,Location,Narration,Date
2.7333333,6.4,Attempted,195-20,"Around 94nm South of Brass, Nigeria.",Five armed pirates in a skiff with a ladder approached and attempted to board a tanker underway. Master took evasive manoeuvres resulting in the attempt being aborted. The tanker and crew safe.,2020-12-29 16:40:00+00:00
5.395,3.745,Attempted,194-20,"Around 64nm  SSE of Lagos, Nigeria.","Armed persons in a speedboat, approached and attempted to board a tanker underway. Master raised alarm and commenced evasive manoeuvres resulting in the approach being aborted.",2020-01-20 22:00:00+00:00
2.6166666,5.616667,Boarded,193-20,"Around 107nm SSW of Brass, Nigeria.","An unknown number of pirates attacked and boarded a container ship underway. Crew mustered in the citadel. After a few hours, the vessel and crew were reported safe.",2020-12-21 04:09:00+00:00
4.883333,-1.6833333,Boarded,192-20,"Takoradi Anchorage, Ghana.","Duty OOW onboard an anchored general cargo ship noticed one robber on the forecastle, stealing ship",2020-12-26 01:30:00+00:00
5.327168,-4.029504,Boarded,191-20,"Abidjan, Ivory Coast.","Robbers boarded a supply vessel moored to a buoy, stole ship",2020-12-08 03:30:00+00:00
2.6022222,6.1691666,Boarded,190-20,"Around 100nm South of Brass, Nigeria.","A container ship underway was attacked and boarded by armed pirates. SSAS activated, CSO informed and crew retreated into the citadel. A Nigerian Navy patrol boat was dispatched and Navy personnel boarded the ship. Investigations showed the pirates had fired towards the bridge and accommodation, damaged ship",2020-12-19 13:36:00+00:00
3.85,6.15,Boarded,189-20,"Around 27nm SSW of Brass, Nigeria.","Armed persons attacked and boarded the ship underway, kidnapped eight crew members and escaped. Nigerian Authorities notified and a security vessel and Nigerian Navy patrol boat escorted the ship to a safe port.",2020-12-16 07:06:00+00:00
4.4708333,5.521389,Boarded,188-20,"Around 10nm SW of Bayelsa, Nigeria.","Armed persons attacked and boarded a general cargo ship underway. They kidnapped 10 crew members and left the ship drifting. Upon receiving the information from the Owners, the IMB Piracy Reporting Centre informed the relevant authorities, including the Italian navy. Nigerian Navy dispatched a patrol boat to investigate and assist the remaining crew and vessel. On 21 Dec 2020, the Owners confirmed that the 10 kidnapped crew members were released safely.",2020-11-26 13:58:00+01:00
4.4341664,2.7,Attempted,187-20,Benin.,Duty officer onboard a research vessel noticed a speed boat approaching and raised the alarm. Master transmitted a distress alert and fired a rocket flare resulting in the boat moving away temporarily and then commenced the approach again. Eight armed persons were identified in the approaching boat. All crew retreated into the citadel. The onboard Benin Navy personnel fired warning shots which resulted in the boat aborting and moving away. All crew safe.,2020-11-09 06:30:00+00:00
5.4666667,1.4166666,Hijacked,186-20,"Around 40nm SSE of Lome, Togo.",The IMB Piracy Reporting Centre received information that Owners had lost contact with their tanker. The Centre immediately informed and commenced information exchange with all relevant Regional Authorities including an Italian warship in the vicinity. The tanker was located by an Italian navy helicopter on 23 Nov 2020 and position updates of the tanker were provided by the Italian warship until a Nigerian Navy patrol boat arrived to escort the tanker to a safe port. Three crew were reported as kidnapped.,2020-11-16 05:40:00+00:00
9.333333,-13.716666,Boarded,185-20,"Conakry Anchorage, Guinea.",Around eight robbers boarded an anchored bulk carrier and escaped with ship,2020-03-27 02:30:00+00:00
21.668888,91.701385,Boarded,184-20,"Around 10nm West of Matarbari, Bangladesh.","Ten robbers armed with knives in two small boats approached and boarded a tug towing a ship, stole ship",2020-12-12 18:50:00+06:00
2.0008333,4.7519445,Boarded,183-20,"Around 165nm SSW of Brass, Nigeria.","Pirates boarded the tanker underway. Duty officer noticed the pirates and raised the alarm. All crew retreated into the citadel. After a while, the pirates left the tanker and the crew emerged from the citadel. Crew and the tanker are safe.",2020-12-15 02:15:00+00:00
4.6283336,4.636667,Boarded,182-20,"Around 51nm WSW Bayelsa, Nigeria.",An unknown number of pirates attacked and boarded a general cargo ship underway. They kidnapped five crew members and escaped. The remaining crew sailed the ship to a safe port.,2020-12-10 08:00:00+00:00
1.7519444,101.38306,Boarded,181-20,"Lubuk Gaung Port, Dumai, Indonesia.","During routine rounds, duty officer onboard a berthed bulk carrier was taken hostage and tied up by four robbers armed with knives. The robbers stole ship",2020-12-15 04:00:00+07:00
0.047222223,5.4166665,Fired Upon,180-20,"Around 100nm SSW of Brass, Nigeria.",Duty watchman onboard a Refrigerated Cargo Ship underway noticed two boats approaching at a distance of 3nm. Master alerted the onboard security team and increased speed. Two speed boats with six persons in each closed in to 0.5 cables and fired upon the ship. Alarm raised and non,2020-12-03 10:35:00+00:00
3.1180556,2.8833334,Boarded,179-20,"Around 198nm SSW of Lagos, Nigeria.",Ten pirates armed with rifles boarded a product tanker underway. Ship,2020-12-05 06:30:00+00:00
0.019226074,-51.02291,Boarded,178-20,Brazil.,"Unnoticed, robbers boarded an anchored bulk carrier, stole ship",2020-12-08 03:30:00-03:00
6.351144,-10.796099,Boarded,177-20,"Monrovia Port, Liberia.",A robber boarded a berthed bulk carrier and stole ship,2020-11-25 03:30:00+00:00
-12.032833,-77.191666,Attempted,176-20,"Callao Anchorage, Peru.",Two unauthorised persons attempted to board an anchored general cargo ship via the anchor chain. Alert duty watchmen heard some unusual noise and noticed the attempted boarding and responded. Hearing the alerted crew the persons aborted the attempted boarding and escaped in their boat. Incident reported to the local authorities. A coast guard boat arrived at location and conducted an investigation.,2020-12-05 01:25:00-05:00
2.7,5.95,Boarded,175-20,"Around 98nm SSW of Brass, Nigeria.",Four pirates boarded a product tanker underway. Master activated the alarm and all crew retreated into the citadel. The pirates were unable to reach the crew and left the vessel without stealing anything. Vessel and crew reported safe.,2020-12-06 04:42:00+00:00
4.900833,1.1686112,Boarded,174-20,"Around 56nm SSE of Anloga, Ghana.","A product tanker underway noticed a possible mother vessel approaching and raised the alarm. SSAS activated, speed increased, evasive manoeuvres commenced, and non",2020-11-29 21:10:00+00:00
2.5686111,2.895,Fired Upon,173-20,"Around 200nm SW of Bayelsa, Nigeria.","While underway, a tanker was approached and fired upon by pirates in a skiff. General alarm sounded, PA announcement made, fire pumps activated, speed increased, evasive manoeuvres carried out, SSAS activated and crew retreated into safe area. Due to the hardening measures and evasive manoeuvres taken by the Master, the skiff aborted the attack and moved away. Vessel and crews reported safe.",2020-12-04 09:40:00+00:00
3.0166667,5.05,Fired Upon,172-20,"Around 85nm SW of Brass, Nigeria.","While underway, a tanker was approached and fired upon by pirates in two skiffs. Alarm sounded, SSAS activated, evasive manoeuvres conducted and all crew mustered in the citadel. After chasing the tanker for some time the pirates aborted and moved away.",2020-12-02 13:03:00+00:00
1.2677778,104.263885,Boarded,171-20,Singapore Straits.,"Unnoticed, robbers boarded a bulk carrier underway, stole ship",2020-11-30 05:20:00+07:00
9.352222,-13.701111,Boarded,170-20,"Conakry Anchorage, Guinea.",Six robbers armed with guns boarded an anchored general cargo vessel. The robbers stole ship,2020-11-30 03:00:00+00:00
3.5352778,6.151111,Boarded,169-20,"Around 45nm SSW of Brass, Nigeria.",Eight pirates armed with assault rifles in a speed boat boarded a general cargo vessel underway. The pirates stole ship and crew properties and kidnapped five crew before escaping. Remaining crew proceeded to a safe port.,2020-11-16 03:20:00+00:00
4.8908334,-1.7002778,Boarded,168-20,"Takoradi Anchorage, Ghana.","Duty watchmen onboard an anchored bulk carrier noticed two unauthorised persons on the forecastle deck and immediately informed the bridge. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped without stealing anything. Incident reported to Port Control.",2020-11-27 01:40:00+00:00
4.650833,3.478889,Boarded,167-20,"Around 105nm South of Lagos, Nigeria.","A product tanker underway, was boarded by six armed pirates. The crew managed to retreat into the citadel. The Owners of the tanker notified the IMB Piracy Reporting Centre who liaised with relevant Regional and International Authorities in the region and requested for assistance. A Nigerian Navy patrol boat was dispatched to the location. An Italian Navy frigate and its helicopter also responded. The pirates damaged ship",2020-10-22 06:57:00+00:00
1.7152778,101.44111,Boarded,166-20,"Dumai Anchorage, Indonesia.",Four robbers armed with knives boarded an anchored tanker. Duty oiler on routine rounds was threatened by the robbers before escaping with stolen engine spares. Incident reported to local authorities through local agent.,2020-11-25 04:15:00+07:00
22.366667,89.626945,Boarded,165-20,"Pussur River, Mongla, Bangladesh.","Three robbers armed with a crowbar boarded an anchored tanker. Duty watchman noticed the robbers and informed the bridge. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped without stealing anything. Incident reported to Port Control.",2020-11-26 03:05:00+06:00
1.2825,104.22722,Boarded,164-20,Singapore Straits.,"Three robbers armed with knives boarded a tanker underway. Duty engineer on routine rounds noticed the robbers and immediately informed the bridge. Alarm raised, crew mustered and a search was carried out. Seeing the alerted crew, the robbers escaped with stolen ship",2020-11-08 21:26:00+08:00
